stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-05-27,W,weekly,0.41774514546744235,114,57,57,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-06-03,W,weekly,0.5493012251055367,94,47,47,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-06-10,W,weekly,0.41763305694229347,184,92,92,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-06-17,W,weekly,0.4048358767001752,130,65,65,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-06-24,W,weekly,0.39059689801459463,200,100,100,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-07-01,W,weekly,0.5037135482779251,202,101,101,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-07-08,W,weekly,0.5238027230962186,204,102,102,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-07-15,W,weekly,0.2902483685422781,172,86,86,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-07-22,W,weekly,0.6644568640959136,120,60,60,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-07-29,W,weekly,0.6382462265105029,278,139,139,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-08-05,W,weekly,0.48215443977814654,104,52,52,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-08-12,W,weekly,0.38013341572371473,148,74,74,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-08-19,W,weekly,0.32775141873048597,158,79,79,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-08-26,W,weekly,0.36174419176377404,126,63,63,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-09-02,W,weekly,0.3818924995738432,140,70,70,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-09-09,W,weekly,0.34267230276104077,170,85,85,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-09-16,W,weekly,0.31649500463412983,156,78,78,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-09-23,W,weekly,0.30940863241740235,146,73,73,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-09-30,W,weekly,0.3247851211043664,274,137,137,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-10-07,W,weekly,0.2627630560390809,186,93,93,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-10-14,W,weekly,0.30394473671856925,192,96,96,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-10-21,W,weekly,0.30818349145252455,192,96,96,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-10-28,W,weekly,0.2953969703538286,246,123,123,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-11-04,W,weekly,0.2728273608766463,184,92,92,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-11-11,W,weekly,0.3589461610691598,90,45,45,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-11-18,W,weekly,0.3261410768615529,174,87,87,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-11-25,W,weekly,0.4270279731925215,200,100,100,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-12-02,W,weekly,0.5130332695429881,138,69,69,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-12-09,W,weekly,0.5606521271175353,100,50,50,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-12-16,W,weekly,0.46823638934529477,180,90,90,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-12-23,W,weekly,0.6822051836680907,58,29,29,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-12-30,W,weekly,0.8026823865868066,136,68,68,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-01-06,W,weekly,0.5976182391289951,166,83,83,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-01-13,W,weekly,0.43073161627748213,172,86,86,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-01-20,W,weekly,0.4829649699244448,234,117,117,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-01-27,W,weekly,0.4603383015091369,190,95,95,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-02-03,W,weekly,0.4632643439112918,222,111,111,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-02-10,W,weekly,0.3327322451490473,112,56,56,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-02-17,W,weekly,0.3170374840258754,64,32,32,tfidf
right_none_weekly,right_none,right,none,2024-02-12,W,weekly,0.3319867300631767,95,0,95,tfidf
right_none_weekly,right_none,right,none,2024-02-19,W,weekly,0.4095759747720815,84,0,84,tfidf
right_none_weekly,right_none,right,none,2024-02-26,W,weekly,0.3440980052825655,155,0,155,tfidf
right_none_weekly,right_none,right,none,2024-03-04,W,weekly,0.40725347088153374,78,0,78,tfidf
right_none_weekly,right_none,right,none,2024-03-11,W,weekly,0.3799204662574407,93,0,93,tfidf
right_none_weekly,right_none,right,none,2024-03-18,W,weekly,0.32258233829306016,77,0,77,tfidf
right_none_weekly,right_none,right,none,2024-03-25,W,weekly,0.5093351243148295,126,0,126,tfidf
right_none_weekly,right_none,right,none,2024-04-01,W,weekly,0.4036772601989458,132,0,132,tfidf
right_none_weekly,right_none,right,none,2024-04-08,W,weekly,0.26501162983638693,82,0,82,tfidf
right_none_weekly,right_none,right,none,2024-04-15,W,weekly,0.4071323423080191,42,0,42,tfidf
right_none_weekly,right_none,right,none,2024-04-22,W,weekly,0.4001716303682006,99,0,99,tfidf
right_none_weekly,right_none,right,none,2024-04-29,W,weekly,0.3150941043027302,154,0,154,tfidf
right_none_weekly,right_none,right,none,2024-05-06,W,weekly,0.3229199447731579,81,0,81,tfidf
right_none_weekly,right_none,right,none,2024-05-13,W,weekly,0.43086565627162154,93,0,93,tfidf
right_none_weekly,right_none,right,none,2024-05-20,W,weekly,0.3367400647151402,70,0,70,tfidf
right_none_weekly,right_none,right,none,2024-05-27,W,weekly,0.3955043268998405,136,0,136,tfidf
right_none_weekly,right_none,right,none,2024-06-03,W,weekly,0.387986697515901,71,0,71,tfidf
right_none_weekly,right_none,right,none,2024-06-10,W,weekly,0.3059436564668443,92,0,92,tfidf
right_none_weekly,right_none,right,none,2024-06-17,W,weekly,0.34764924963383803,84,0,84,tfidf
right_none_weekly,right_none,right,none,2024-06-24,W,weekly,0.32314668054678897,120,0,120,tfidf
right_none_weekly,right_none,right,none,2024-07-01,W,weekly,0.3564218739559195,113,0,113,tfidf
right_none_weekly,right_none,right,none,2024-07-08,W,weekly,0.449790707177269,102,0,102,tfidf
right_none_weekly,right_none,right,none,2024-07-15,W,weekly,0.2101484599906116,106,0,106,tfidf
right_none_weekly,right_none,right,none,2024-07-22,W,weekly,0.23120457047681442,102,0,102,tfidf
right_none_weekly,right_none,right,none,2024-07-29,W,weekly,0.21234426042663412,167,0,167,tfidf
right_none_weekly,right_none,right,none,2024-08-05,W,weekly,0.4034054009888184,68,0,68,tfidf
right_none_weekly,right_none,right,none,2024-08-12,W,weekly,0.2505110633878882,109,0,109,tfidf
right_none_weekly,right_none,right,none,2024-08-19,W,weekly,0.23139615144355274,118,0,118,tfidf
right_none_weekly,right_none,right,none,2024-08-26,W,weekly,0.28251597357443015,153,0,153,tfidf
right_none_weekly,right_none,right,none,2024-09-02,W,weekly,0.23250293463657712,97,0,97,tfidf
right_none_weekly,right_none,right,none,2024-09-09,W,weekly,0.23586772423141178,105,0,105,tfidf
right_none_weekly,right_none,right,none,2024-09-16,W,weekly,0.23008752987489345,105,0,105,tfidf
right_none_weekly,right_none,right,none,2024-09-23,W,weekly,0.177855730812853,111,0,111,tfidf
right_none_weekly,right_none,right,none,2024-09-30,W,weekly,0.23520283625750227,152,0,152,tfidf
right_none_weekly,right_none,right,none,2024-10-07,W,weekly,0.20651280733948063,113,0,113,tfidf
right_none_weekly,right_none,right,none,2024-10-14,W,weekly,0.21714558836131292,96,0,96,tfidf
right_none_weekly,right_none,right,none,2024-10-21,W,weekly,0.2076987488869524,90,0,90,tfidf
right_none_weekly,right_none,right,none,2024-10-28,W,weekly,0.2268923925812576,142,0,142,tfidf
right_none_weekly,right_none,right,none,2024-11-04,W,weekly,0.22019885265779426,115,0,115,tfidf
right_none_weekly,right_none,right,none,2024-11-11,W,weekly,0.2987377239587128,56,0,56,tfidf
right_none_weekly,right_none,right,none,2024-11-18,W,weekly,0.21383780454420265,99,0,99,tfidf
right_none_weekly,right_none,right,none,2024-11-25,W,weekly,0.2960083029963897,118,0,118,tfidf
right_none_weekly,right_none,right,none,2024-12-02,W,weekly,0.3434541084321514,90,0,90,tfidf
right_none_weekly,right_none,right,none,2024-12-09,W,weekly,0.26275879902883115,75,0,75,tfidf
right_none_weekly,right_none,right,none,2024-12-16,W,weekly,0.26357301751717443,96,0,96,tfidf
right_none_weekly,right_none,right,none,2024-12-23,W,weekly,0.2912504458148697,68,0,68,tfidf
right_none_weekly,right_none,right,none,2024-12-30,W,weekly,0.31503786736533135,126,0,126,tfidf
right_none_weekly,right_none,right,none,2025-01-06,W,weekly,0.3799135891402552,83,0,83,tfidf
right_none_weekly,right_none,right,none,2025-01-13,W,weekly,0.32500844944080354,88,0,88,tfidf
right_none_weekly,right_none,right,none,2025-01-20,W,weekly,0.38949915968864723,117,0,117,tfidf
right_none_weekly,right_none,right,none,2025-01-27,W,weekly,0.36290766417996556,139,0,139,tfidf
right_none_weekly,right_none,right,none,2025-02-03,W,weekly,0.30341980600449614,120,0,120,tfidf
right_none_weekly,right_none,right,none,2025-02-10,W,weekly,0.2169367177395356,76,0,76,tfidf
right_none_weekly,right_none,right,none,2025-02-17,W,weekly,0.2032755415419082,52,0,52,tfidf
